date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,week,day
2011-02-26,11105,Saturday,1,2,2011,d_29,No Event,No Event,No Event,No Event,0,0,0,8,26
2011-02-27,11105,Sunday,2,2,2011,d_30,No Event,No Event,No Event,No Event,0,0,0,8,27
2011-02-28,11105,Monday,3,2,2011,d_31,No Event,No Event,No Event,No Event,0,0,0,9,28
2011-03-01,11105,Tuesday,4,3,2011,d_32,No Event,No Event,No Event,No Event,1,1,0,9,1
2011-03-02,11105,Wednesday,5,3,2011,d_33,No Event,No Event,No Event,No Event,1,0,1,9,2
2011-03-03,11105,Thursday,6,3,2011,d_34,No Event,No Event,No Event,No Event,1,1,1,9,3
2011-03-04,11105,Friday,7,3,2011,d_35,No Event,No Event,No Event,No Event,1,0,0,9,4
2011-03-05,11106,Saturday,1,3,2011,d_36,No Event,No Event,No Event,No Event,1,1,1,9,5
2011-03-06,11106,Sunday,2,3,2011,d_37,No Event,No Event,No Event,No Event,1,1,1,9,6
2011-03-07,11106,Monday,3,3,2011,d_38,No Event,No Event,No Event,No Event,1,1,0,10,7
2011-03-08,11106,Tuesday,4,3,2011,d_39,No Event,No Event,No Event,No Event,1,0,1,10,8
2011-03-09,11106,Wednesday,5,3,2011,d_40,LentStart,Religious,No Event,No Event,1,1,1,10,9
2011-03-10,11106,Thursday,6,3,2011,d_41,No Event,No Event,No Event,No Event,1,0,0,10,10
2011-03-11,11106,Friday,7,3,2011,d_42,No Event,No Event,No Event,No Event,0,1,1,10,11
2011-03-12,11107,Saturday,1,3,2011,d_43,No Event,No Event,No Event,No Event,0,1,1,10,12
2011-03-13,11107,Sunday,2,3,2011,d_44,No Event,No Event,No Event,No Event,0,1,0,10,13
2011-03-14,11107,Monday,3,3,2011,d_45,No Event,No Event,No Event,No Event,0,0,1,11,14
2011-03-15,11107,Tuesday,4,3,2011,d_46,No Event,No Event,No Event,No Event,0,1,1,11,15
2011-03-16,11107,Wednesday,5,3,2011,d_47,LentWeek2,Religious,No Event,No Event,0,0,0,11,16
2011-03-17,11107,Thursday,6,3,2011,d_48,StPatricksDay,Cultural,No Event,No Event,0,0,0,11,17
2011-03-18,11107,Friday,7,3,2011,d_49,No Event,No Event,No Event,No Event,0,0,0,11,18
2011-03-19,11108,Saturday,1,3,2011,d_50,No Event,No Event,No Event,No Event,0,0,0,11,19
2011-03-20,11108,Sunday,2,3,2011,d_51,Purim End,Religious,No Event,No Event,0,0,0,11,20
2011-03-21,11108,Monday,3,3,2011,d_52,No Event,No Event,No Event,No Event,0,0,0,12,21
2011-03-22,11108,Tuesday,4,3,2011,d_53,No Event,No Event,No Event,No Event,0,0,0,12,22
2011-03-23,11108,Wednesday,5,3,2011,d_54,No Event,No Event,No Event,No Event,0,0,0,12,23
2011-03-24,11108,Thursday,6,3,2011,d_55,No Event,No Event,No Event,No Event,0,0,0,12,24
2011-03-25,11108,Friday,7,3,2011,d_56,No Event,No Event,No Event,No Event,0,0,0,12,25
2011-03-26,11109,Saturday,1,3,2011,d_57,No Event,No Event,No Event,No Event,0,0,0,12,26
2011-03-27,11109,Sunday,2,3,2011,d_58,No Event,No Event,No Event,No Event,0,0,0,12,27
2011-03-28,11109,Monday,3,3,2011,d_59,No Event,No Event,No Event,No Event,0,0,0,13,28
2011-03-29,11109,Tuesday,4,3,2011,d_60,No Event,No Event,No Event,No Event,0,0,0,13,29
2011-03-30,11109,Wednesday,5,3,2011,d_61,No Event,No Event,No Event,No Event,0,0,0,13,30
2011-03-31,11109,Thursday,6,3,2011,d_62,No Event,No Event,No Event,No Event,0,0,0,13,31
2011-04-01,11109,Friday,7,4,2011,d_63,No Event,No Event,No Event,No Event,1,1,0,13,1
2011-04-02,11110,Saturday,1,4,2011,d_64,No Event,No Event,No Event,No Event,1,0,1,13,2
2011-04-03,11110,Sunday,2,4,2011,d_65,No Event,No Event,No Event,No Event,1,1,1,13,3
2011-04-04,11110,Monday,3,4,2011,d_66,No Event,No Event,No Event,No Event,1,0,0,14,4
2011-04-05,11110,Tuesday,4,4,2011,d_67,No Event,No Event,No Event,No Event,1,1,1,14,5
2011-04-06,11110,Wednesday,5,4,2011,d_68,No Event,No Event,No Event,No Event,1,1,1,14,6
2011-04-07,11110,Thursday,6,4,2011,d_69,No Event,No Event,No Event,No Event,1,1,0,14,7
2011-04-08,11110,Friday,7,4,2011,d_70,No Event,No Event,No Event,No Event,1,0,1,14,8
2011-04-09,11111,Saturday,1,4,2011,d_71,No Event,No Event,No Event,No Event,1,1,1,14,9
2011-04-10,11111,Sunday,2,4,2011,d_72,No Event,No Event,No Event,No Event,1,0,0,14,10
2011-04-11,11111,Monday,3,4,2011,d_73,No Event,No Event,No Event,No Event,0,1,1,15,11
2011-04-12,11111,Tuesday,4,4,2011,d_74,No Event,No Event,No Event,No Event,0,1,1,15,12
2011-04-13,11111,Wednesday,5,4,2011,d_75,No Event,No Event,No Event,No Event,0,1,0,15,13
2011-04-14,11111,Thursday,6,4,2011,d_76,No Event,No Event,No Event,No Event,0,0,1,15,14
2011-04-15,11111,Friday,7,4,2011,d_77,No Event,No Event,No Event,No Event,0,1,1,15,15
2011-04-16,11112,Saturday,1,4,2011,d_78,No Event,No Event,No Event,No Event,0,0,0,15,16
2011-04-17,11112,Sunday,2,4,2011,d_79,No Event,No Event,No Event,No Event,0,0,0,15,17
2011-04-18,11112,Monday,3,4,2011,d_80,No Event,No Event,No Event,No Event,0,0,0,16,18
2011-04-19,11112,Tuesday,4,4,2011,d_81,No Event,No Event,No Event,No Event,0,0,0,16,19
2011-04-20,11112,Wednesday,5,4,2011,d_82,No Event,No Event,No Event,No Event,0,0,0,16,20
2011-04-21,11112,Thursday,6,4,2011,d_83,No Event,No Event,No Event,No Event,0,0,0,16,21
2011-04-22,11112,Friday,7,4,2011,d_84,No Event,No Event,No Event,No Event,0,0,0,16,22
2011-04-23,11113,Saturday,1,4,2011,d_85,No Event,No Event,No Event,No Event,0,0,0,16,23
2011-04-24,11113,Sunday,2,4,2011,d_86,OrthodoxEaster,Religious,Easter,Cultural,0,0,0,16,24
2011-04-25,11113,Monday,3,4,2011,d_87,No Event,No Event,No Event,No Event,0,0,0,17,25
2011-04-26,11113,Tuesday,4,4,2011,d_88,Pesach End,Religious,No Event,No Event,0,0,0,17,26
2011-04-27,11113,Wednesday,5,4,2011,d_89,No Event,No Event,No Event,No Event,0,0,0,17,27
2011-04-28,11113,Thursday,6,4,2011,d_90,No Event,No Event,No Event,No Event,0,0,0,17,28
2011-04-29,11113,Friday,7,4,2011,d_91,No Event,No Event,No Event,No Event,0,0,0,17,29
2011-04-30,11114,Saturday,1,4,2011,d_92,No Event,No Event,No Event,No Event,0,0,0,17,30
2011-05-01,11114,Sunday,2,5,2011,d_93,No Event,No Event,No Event,No Event,1,1,0,17,1
2011-05-02,11114,Monday,3,5,2011,d_94,No Event,No Event,No Event,No Event,1,0,1,18,2
2011-05-03,11114,Tuesday,4,5,2011,d_95,No Event,No Event,No Event,No Event,1,1,1,18,3
2011-05-04,11114,Wednesday,5,5,2011,d_96,No Event,No Event,No Event,No Event,1,0,0,18,4
2011-05-05,11114,Thursday,6,5,2011,d_97,Cinco De Mayo,Cultural,No Event,No Event,1,1,1,18,5
2011-05-06,11114,Friday,7,5,2011,d_98,No Event,No Event,No Event,No Event,1,1,1,18,6
2011-05-07,11115,Saturday,1,5,2011,d_99,No Event,No Event,No Event,No Event,1,1,0,18,7
2011-05-08,11115,Sunday,2,5,2011,d_100,Mother's day,Cultural,No Event,No Event,1,0,1,18,8
2011-05-09,11115,Monday,3,5,2011,d_101,No Event,No Event,No Event,No Event,1,1,1,19,9
2011-05-10,11115,Tuesday,4,5,2011,d_102,No Event,No Event,No Event,No Event,1,0,0,19,10
2011-05-11,11115,Wednesday,5,5,2011,d_103,No Event,No Event,No Event,No Event,0,1,1,19,11
2011-05-12,11115,Thursday,6,5,2011,d_104,No Event,No Event,No Event,No Event,0,1,1,19,12
2011-05-13,11115,Friday,7,5,2011,d_105,No Event,No Event,No Event,No Event,0,1,0,19,13
2011-05-14,11116,Saturday,1,5,2011,d_106,No Event,No Event,No Event,No Event,0,0,1,19,14
2011-05-15,11116,Sunday,2,5,2011,d_107,No Event,No Event,No Event,No Event,0,1,1,19,15
2011-05-16,11116,Monday,3,5,2011,d_108,No Event,No Event,No Event,No Event,0,0,0,20,16
2011-05-17,11116,Tuesday,4,5,2011,d_109,No Event,No Event,No Event,No Event,0,0,0,20,17
2011-05-18,11116,Wednesday,5,5,2011,d_110,No Event,No Event,No Event,No Event,0,0,0,20,18
2011-05-19,11116,Thursday,6,5,2011,d_111,No Event,No Event,No Event,No Event,0,0,0,20,19
2011-05-20,11116,Friday,7,5,2011,d_112,No Event,No Event,No Event,No Event,0,0,0,20,20
2011-05-21,11117,Saturday,1,5,2011,d_113,No Event,No Event,No Event,No Event,0,0,0,20,21
2011-05-22,11117,Sunday,2,5,2011,d_114,No Event,No Event,No Event,No Event,0,0,0,20,22
2011-05-23,11117,Monday,3,5,2011,d_115,No Event,No Event,No Event,No Event,0,0,0,21,23
2011-05-24,11117,Tuesday,4,5,2011,d_116,No Event,No Event,No Event,No Event,0,0,0,21,24
2011-05-25,11117,Wednesday,5,5,2011,d_117,No Event,No Event,No Event,No Event,0,0,0,21,25
2011-05-26,11117,Thursday,6,5,2011,d_118,No Event,No Event,No Event,No Event,0,0,0,21,26
2011-05-27,11117,Friday,7,5,2011,d_119,No Event,No Event,No Event,No Event,0,0,0,21,27
2011-05-28,11118,Saturday,1,5,2011,d_120,No Event,No Event,No Event,No Event,0,0,0,21,28
2011-05-29,11118,Sunday,2,5,2011,d_121,No Event,No Event,No Event,No Event,0,0,0,21,29
2011-05-30,11118,Monday,3,5,2011,d_122,MemorialDay,National,No Event,No Event,0,0,0,22,30
2011-05-31,11118,Tuesday,4,5,2011,d_123,NBAFinalsStart,Sporting,No Event,No Event,0,0,0,22,31
2011-06-01,11118,Wednesday,5,6,2011,d_124,No Event,No Event,No Event,No Event,1,1,0,22,1
2011-06-02,11118,Thursday,6,6,2011,d_125,No Event,No Event,No Event,No Event,1,0,1,22,2
2011-06-03,11118,Friday,7,6,2011,d_126,No Event,No Event,No Event,No Event,1,1,1,22,3
2011-06-04,11119,Saturday,1,6,2011,d_127,No Event,No Event,No Event,No Event,1,0,0,22,4
2011-06-05,11119,Sunday,2,6,2011,d_128,No Event,No Event,No Event,No Event,1,1,1,22,5
2011-06-06,11119,Monday,3,6,2011,d_129,No Event,No Event,No Event,No Event,1,1,1,23,6
2011-06-07,11119,Tuesday,4,6,2011,d_130,No Event,No Event,No Event,No Event,1,1,0,23,7
2011-06-08,11119,Wednesday,5,6,2011,d_131,No Event,No Event,No Event,No Event,1,0,1,23,8
2011-06-09,11119,Thursday,6,6,2011,d_132,No Event,No Event,No Event,No Event,1,1,1,23,9
2011-06-10,11119,Friday,7,6,2011,d_133,No Event,No Event,No Event,No Event,1,0,0,23,10
2011-06-11,11120,Saturday,1,6,2011,d_134,No Event,No Event,No Event,No Event,0,1,1,23,11
2011-06-12,11120,Sunday,2,6,2011,d_135,NBAFinalsEnd,Sporting,No Event,No Event,0,1,1,23,12
2011-06-13,11120,Monday,3,6,2011,d_136,No Event,No Event,No Event,No Event,0,1,0,24,13
2011-06-14,11120,Tuesday,4,6,2011,d_137,No Event,No Event,No Event,No Event,0,0,1,24,14
2011-06-15,11120,Wednesday,5,6,2011,d_138,No Event,No Event,No Event,No Event,0,1,1,24,15
2011-06-16,11120,Thursday,6,6,2011,d_139,No Event,No Event,No Event,No Event,0,0,0,24,16
2011-06-17,11120,Friday,7,6,2011,d_140,No Event,No Event,No Event,No Event,0,0,0,24,17
2011-06-18,11121,Saturday,1,6,2011,d_141,No Event,No Event,No Event,No Event,0,0,0,24,18
2011-06-19,11121,Sunday,2,6,2011,d_142,Father's day,Cultural,No Event,No Event,0,0,0,24,19
2011-06-20,11121,Monday,3,6,2011,d_143,No Event,No Event,No Event,No Event,0,0,0,25,20
2011-06-21,11121,Tuesday,4,6,2011,d_144,No Event,No Event,No Event,No Event,0,0,0,25,21
2011-06-22,11121,Wednesday,5,6,2011,d_145,No Event,No Event,No Event,No Event,0,0,0,25,22
2011-06-23,11121,Thursday,6,6,2011,d_146,No Event,No Event,No Event,No Event,0,0,0,25,23
2011-06-24,11121,Friday,7,6,2011,d_147,No Event,No Event,No Event,No Event,0,0,0,25,24
2011-06-25,11122,Saturday,1,6,2011,d_148,No Event,No Event,No Event,No Event,0,0,0,25,25
2011-06-26,11122,Sunday,2,6,2011,d_149,No Event,No Event,No Event,No Event,0,0,0,25,26
2011-06-27,11122,Monday,3,6,2011,d_150,No Event,No Event,No Event,No Event,0,0,0,26,27
2011-06-28,11122,Tuesday,4,6,2011,d_151,No Event,No Event,No Event,No Event,0,0,0,26,28
2011-06-29,11122,Wednesday,5,6,2011,d_152,No Event,No Event,No Event,No Event,0,0,0,26,29
2011-06-30,11122,Thursday,6,6,2011,d_153,No Event,No Event,No Event,No Event,0,0,0,26,30
2011-07-01,11122,Friday,7,7,2011,d_154,No Event,No Event,No Event,No Event,1,1,0,26,1
2011-07-02,11123,Saturday,1,7,2011,d_155,No Event,No Event,No Event,No Event,1,0,1,26,2
2011-07-03,11123,Sunday,2,7,2011,d_156,No Event,No Event,No Event,No Event,1,1,1,26,3
2011-07-04,11123,Monday,3,7,2011,d_157,IndependenceDay,National,No Event,No Event,1,0,0,27,4
2011-07-05,11123,Tuesday,4,7,2011,d_158,No Event,No Event,No Event,No Event,1,1,1,27,5
2011-07-06,11123,Wednesday,5,7,2011,d_159,No Event,No Event,No Event,No Event,1,1,1,27,6
2011-07-07,11123,Thursday,6,7,2011,d_160,No Event,No Event,No Event,No Event,1,1,0,27,7
2011-07-08,11123,Friday,7,7,2011,d_161,No Event,No Event,No Event,No Event,1,0,1,27,8
2011-07-09,11124,Saturday,1,7,2011,d_162,No Event,No Event,No Event,No Event,1,1,1,27,9
2011-07-10,11124,Sunday,2,7,2011,d_163,No Event,No Event,No Event,No Event,1,0,0,27,10
2011-07-11,11124,Monday,3,7,2011,d_164,No Event,No Event,No Event,No Event,0,1,1,28,11
2011-07-12,11124,Tuesday,4,7,2011,d_165,No Event,No Event,No Event,No Event,0,1,1,28,12
2011-07-13,11124,Wednesday,5,7,2011,d_166,No Event,No Event,No Event,No Event,0,1,0,28,13
2011-07-14,11124,Thursday,6,7,2011,d_167,No Event,No Event,No Event,No Event,0,0,1,28,14
2011-07-15,11124,Friday,7,7,2011,d_168,No Event,No Event,No Event,No Event,0,1,1,28,15
2011-07-16,11125,Saturday,1,7,2011,d_169,No Event,No Event,No Event,No Event,0,0,0,28,16
2011-07-17,11125,Sunday,2,7,2011,d_170,No Event,No Event,No Event,No Event,0,0,0,28,17
2011-07-18,11125,Monday,3,7,2011,d_171,No Event,No Event,No Event,No Event,0,0,0,29,18
2011-07-19,11125,Tuesday,4,7,2011,d_172,No Event,No Event,No Event,No Event,0,0,0,29,19
2011-07-20,11125,Wednesday,5,7,2011,d_173,No Event,No Event,No Event,No Event,0,0,0,29,20
2011-07-21,11125,Thursday,6,7,2011,d_174,No Event,No Event,No Event,No Event,0,0,0,29,21
2011-07-22,11125,Friday,7,7,2011,d_175,No Event,No Event,No Event,No Event,0,0,0,29,22
2011-07-23,11126,Saturday,1,7,2011,d_176,No Event,No Event,No Event,No Event,0,0,0,29,23
2011-07-24,11126,Sunday,2,7,2011,d_177,No Event,No Event,No Event,No Event,0,0,0,29,24
2011-07-25,11126,Monday,3,7,2011,d_178,No Event,No Event,No Event,No Event,0,0,0,30,25
2011-07-26,11126,Tuesday,4,7,2011,d_179,No Event,No Event,No Event,No Event,0,0,0,30,26
2011-07-27,11126,Wednesday,5,7,2011,d_180,No Event,No Event,No Event,No Event,0,0,0,30,27
2011-07-28,11126,Thursday,6,7,2011,d_181,No Event,No Event,No Event,No Event,0,0,0,30,28
2011-07-29,11126,Friday,7,7,2011,d_182,No Event,No Event,No Event,No Event,0,0,0,30,29
2011-07-30,11127,Saturday,1,7,2011,d_183,No Event,No Event,No Event,No Event,0,0,0,30,30
2011-07-31,11127,Sunday,2,7,2011,d_184,No Event,No Event,No Event,No Event,0,0,0,30,31
2011-08-01,11127,Monday,3,8,2011,d_185,Ramadan starts,Religious,No Event,No Event,1,1,0,31,1
2011-08-02,11127,Tuesday,4,8,2011,d_186,No Event,No Event,No Event,No Event,1,0,1,31,2
2011-08-03,11127,Wednesday,5,8,2011,d_187,No Event,No Event,No Event,No Event,1,1,1,31,3
2011-08-04,11127,Thursday,6,8,2011,d_188,No Event,No Event,No Event,No Event,1,0,0,31,4
2011-08-05,11127,Friday,7,8,2011,d_189,No Event,No Event,No Event,No Event,1,1,1,31,5
2011-08-06,11128,Saturday,1,8,2011,d_190,No Event,No Event,No Event,No Event,1,1,1,31,6
2011-08-07,11128,Sunday,2,8,2011,d_191,No Event,No Event,No Event,No Event,1,1,0,31,7
2011-08-08,11128,Monday,3,8,2011,d_192,No Event,No Event,No Event,No Event,1,0,1,32,8
2011-08-09,11128,Tuesday,4,8,2011,d_193,No Event,No Event,No Event,No Event,1,1,1,32,9
2011-08-10,11128,Wednesday,5,8,2011,d_194,No Event,No Event,No Event,No Event,1,0,0,32,10
2011-08-11,11128,Thursday,6,8,2011,d_195,No Event,No Event,No Event,No Event,0,1,1,32,11
2011-08-12,11128,Friday,7,8,2011,d_196,No Event,No Event,No Event,No Event,0,1,1,32,12
2011-08-13,11129,Saturday,1,8,2011,d_197,No Event,No Event,No Event,No Event,0,1,0,32,13
2011-08-14,11129,Sunday,2,8,2011,d_198,No Event,No Event,No Event,No Event,0,0,1,32,14
2011-08-15,11129,Monday,3,8,2011,d_199,No Event,No Event,No Event,No Event,0,1,1,33,15
2011-08-16,11129,Tuesday,4,8,2011,d_200,No Event,No Event,No Event,No Event,0,0,0,33,16
2011-08-17,11129,Wednesday,5,8,2011,d_201,No Event,No Event,No Event,No Event,0,0,0,33,17
2011-08-18,11129,Thursday,6,8,2011,d_202,No Event,No Event,No Event,No Event,0,0,0,33,18
2011-08-19,11129,Friday,7,8,2011,d_203,No Event,No Event,No Event,No Event,0,0,0,33,19
2011-08-20,11130,Saturday,1,8,2011,d_204,No Event,No Event,No Event,No Event,0,0,0,33,20
2011-08-21,11130,Sunday,2,8,2011,d_205,No Event,No Event,No Event,No Event,0,0,0,33,21
2011-08-22,11130,Monday,3,8,2011,d_206,No Event,No Event,No Event,No Event,0,0,0,34,22
2011-08-23,11130,Tuesday,4,8,2011,d_207,No Event,No Event,No Event,No Event,0,0,0,34,23
2011-08-24,11130,Wednesday,5,8,2011,d_208,No Event,No Event,No Event,No Event,0,0,0,34,24
2011-08-25,11130,Thursday,6,8,2011,d_209,No Event,No Event,No Event,No Event,0,0,0,34,25
2011-08-26,11130,Friday,7,8,2011,d_210,No Event,No Event,No Event,No Event,0,0,0,34,26
2011-08-27,11131,Saturday,1,8,2011,d_211,No Event,No Event,No Event,No Event,0,0,0,34,27
2011-08-28,11131,Sunday,2,8,2011,d_212,No Event,No Event,No Event,No Event,0,0,0,34,28
2011-08-29,11131,Monday,3,8,2011,d_213,No Event,No Event,No Event,No Event,0,0,0,35,29
2011-08-30,11131,Tuesday,4,8,2011,d_214,No Event,No Event,No Event,No Event,0,0,0,35,30
2011-08-31,11131,Wednesday,5,8,2011,d_215,Eid al-Fitr,Religious,No Event,No Event,0,0,0,35,31
2011-09-01,11131,Thursday,6,9,2011,d_216,No Event,No Event,No Event,No Event,1,1,0,35,1
2011-09-02,11131,Friday,7,9,2011,d_217,No Event,No Event,No Event,No Event,1,0,1,35,2
2011-09-03,11132,Saturday,1,9,2011,d_218,No Event,No Event,No Event,No Event,1,1,1,35,3
2011-09-04,11132,Sunday,2,9,2011,d_219,No Event,No Event,No Event,No Event,1,0,0,35,4
2011-09-05,11132,Monday,3,9,2011,d_220,LaborDay,National,No Event,No Event,1,1,1,36,5
2011-09-06,11132,Tuesday,4,9,2011,d_221,No Event,No Event,No Event,No Event,1,1,1,36,6
2011-09-07,11132,Wednesday,5,9,2011,d_222,No Event,No Event,No Event,No Event,1,1,0,36,7
2011-09-08,11132,Thursday,6,9,2011,d_223,No Event,No Event,No Event,No Event,1,0,1,36,8
2011-09-09,11132,Friday,7,9,2011,d_224,No Event,No Event,No Event,No Event,1,1,1,36,9
2011-09-10,11133,Saturday,1,9,2011,d_225,No Event,No Event,No Event,No Event,1,0,0,36,10
2011-09-11,11133,Sunday,2,9,2011,d_226,No Event,No Event,No Event,No Event,0,1,1,36,11
2011-09-12,11133,Monday,3,9,2011,d_227,No Event,No Event,No Event,No Event,0,1,1,37,12
2011-09-13,11133,Tuesday,4,9,2011,d_228,No Event,No Event,No Event,No Event,0,1,0,37,13
2011-09-14,11133,Wednesday,5,9,2011,d_229,No Event,No Event,No Event,No Event,0,0,1,37,14
2011-09-15,11133,Thursday,6,9,2011,d_230,No Event,No Event,No Event,No Event,0,1,1,37,15
2011-09-16,11133,Friday,7,9,2011,d_231,No Event,No Event,No Event,No Event,0,0,0,37,16
2011-09-17,11134,Saturday,1,9,2011,d_232,No Event,No Event,No Event,No Event,0,0,0,37,17
2011-09-18,11134,Sunday,2,9,2011,d_233,No Event,No Event,No Event,No Event,0,0,0,37,18
2011-09-19,11134,Monday,3,9,2011,d_234,No Event,No Event,No Event,No Event,0,0,0,38,19
2011-09-20,11134,Tuesday,4,9,2011,d_235,No Event,No Event,No Event,No Event,0,0,0,38,20
2011-09-21,11134,Wednesday,5,9,2011,d_236,No Event,No Event,No Event,No Event,0,0,0,38,21
2011-09-22,11134,Thursday,6,9,2011,d_237,No Event,No Event,No Event,No Event,0,0,0,38,22
2011-09-23,11134,Friday,7,9,2011,d_238,No Event,No Event,No Event,No Event,0,0,0,38,23
2011-09-24,11135,Saturday,1,9,2011,d_239,No Event,No Event,No Event,No Event,0,0,0,38,24
2011-09-25,11135,Sunday,2,9,2011,d_240,No Event,No Event,No Event,No Event,0,0,0,38,25
2011-09-26,11135,Monday,3,9,2011,d_241,No Event,No Event,No Event,No Event,0,0,0,39,26
2011-09-27,11135,Tuesday,4,9,2011,d_242,No Event,No Event,No Event,No Event,0,0,0,39,27
2011-09-28,11135,Wednesday,5,9,2011,d_243,No Event,No Event,No Event,No Event,0,0,0,39,28
2011-09-29,11135,Thursday,6,9,2011,d_244,No Event,No Event,No Event,No Event,0,0,0,39,29
2011-09-30,11135,Friday,7,9,2011,d_245,No Event,No Event,No Event,No Event,0,0,0,39,30
2011-10-01,11136,Saturday,1,10,2011,d_246,No Event,No Event,No Event,No Event,1,1,0,39,1
2011-10-02,11136,Sunday,2,10,2011,d_247,No Event,No Event,No Event,No Event,1,0,1,39,2
2011-10-03,11136,Monday,3,10,2011,d_248,No Event,No Event,No Event,No Event,1,1,1,40,3
2011-10-04,11136,Tuesday,4,10,2011,d_249,No Event,No Event,No Event,No Event,1,0,0,40,4
2011-10-05,11136,Wednesday,5,10,2011,d_250,No Event,No Event,No Event,No Event,1,1,1,40,5
2011-10-06,11136,Thursday,6,10,2011,d_251,No Event,No Event,No Event,No Event,1,1,1,40,6
2011-10-07,11136,Friday,7,10,2011,d_252,No Event,No Event,No Event,No Event,1,1,0,40,7
2011-10-08,11137,Saturday,1,10,2011,d_253,No Event,No Event,No Event,No Event,1,0,1,40,8
2011-10-09,11137,Sunday,2,10,2011,d_254,No Event,No Event,No Event,No Event,1,1,1,40,9
2011-10-10,11137,Monday,3,10,2011,d_255,ColumbusDay,National,No Event,No Event,1,0,0,41,10
2011-10-11,11137,Tuesday,4,10,2011,d_256,No Event,No Event,No Event,No Event,0,1,1,41,11
2011-10-12,11137,Wednesday,5,10,2011,d_257,No Event,No Event,No Event,No Event,0,1,1,41,12
2011-10-13,11137,Thursday,6,10,2011,d_258,No Event,No Event,No Event,No Event,0,1,0,41,13
2011-10-14,11137,Friday,7,10,2011,d_259,No Event,No Event,No Event,No Event,0,0,1,41,14
2011-10-15,11138,Saturday,1,10,2011,d_260,No Event,No Event,No Event,No Event,0,1,1,41,15
2011-10-16,11138,Sunday,2,10,2011,d_261,No Event,No Event,No Event,No Event,0,0,0,41,16
2011-10-17,11138,Monday,3,10,2011,d_262,No Event,No Event,No Event,No Event,0,0,0,42,17
2011-10-18,11138,Tuesday,4,10,2011,d_263,No Event,No Event,No Event,No Event,0,0,0,42,18
2011-10-19,11138,Wednesday,5,10,2011,d_264,No Event,No Event,No Event,No Event,0,0,0,42,19
2011-10-20,11138,Thursday,6,10,2011,d_265,No Event,No Event,No Event,No Event,0,0,0,42,20
