item_id,store_id,average_daily_demand,demand_std,demand_records,safety_stock,service_level,z_score,lead_time_days,lead_time_demand,reorder_point,inventory_level
HOUSEHOLD_1_290,CA_3,0.56,1.49,1857,6.47,0.95,1.645,7,3.92,10.39,Medium
HOUSEHOLD_1_290,TX_2,0.73,1.19,1857,5.2,0.95,1.645,7,5.11,10.31,Medium
FOODS_2_035,TX_3,0.71,1.22,1857,5.31,0.95,1.645,7,4.97,10.28,Medium
HOUSEHOLD_2_442,TX_2,0.84,1.01,1857,4.4,0.95,1.645,7,5.88,10.28,Medium
FOODS_1_021,TX_3,0.6,1.3,1857,5.64,0.95,1.645,7,4.2,9.84,Medium
HOUSEHOLD_1_370,TX_3,0.79,0.99,1857,4.29,0.95,1.645,7,5.53,9.82,Medium
FOODS_2_035,WI_3,0.62,1.21,1857,5.25,0.95,1.645,7,4.34,9.59,Medium
HOUSEHOLD_1_370,TX_1,0.72,1.02,1857,4.43,0.95,1.645,7,5.04,9.47,Medium
FOODS_1_021,TX_2,0.59,1.19,1857,5.18,0.95,1.645,7,4.13,9.31,Medium
HOUSEHOLD_1_100,WI_1,0.75,0.93,1857,4.03,0.95,1.645,7,5.25,9.28,Medium
HOUSEHOLD_2_442,WI_2,0.68,0.97,1857,4.22,0.95,1.645,7,4.76,8.98,Medium
HOUSEHOLD_2_442,TX_3,0.59,1.1,1857,4.77,0.95,1.645,7,4.13,8.9,Medium
HOBBIES_1_209,CA_4,0.34,1.45,1857,6.3,0.95,1.645,7,2.38,8.68,Medium
FOODS_2_035,TX_2,0.5,1.12,1857,4.87,0.95,1.645,7,3.5,8.37,Medium
HOUSEHOLD_2_442,TX_1,0.63,0.88,1857,3.83,0.95,1.645,7,4.41,8.24,Medium
FOODS_2_035,CA_1,0.51,1.07,1857,4.66,0.95,1.645,7,3.57,8.23,Medium
HOUSEHOLD_1_489,CA_3,0.38,1.25,1857,5.44,0.95,1.645,7,2.66,8.1,Medium
HOBBIES_1_022,CA_3,0.56,0.8,1857,3.5,0.95,1.645,7,3.92,7.42,Medium
FOODS_2_035,CA_2,0.37,1.09,1857,4.73,0.95,1.645,7,2.59,7.32,Medium
HOUSEHOLD_1_100,TX_1,0.56,0.77,1857,3.37,0.95,1.645,7,3.92,7.29,Medium
HOBBIES_1_022,CA_2,0.53,0.82,1857,3.56,0.95,1.645,7,3.71,7.27,Medium
HOUSEHOLD_1_489,TX_1,0.36,1.08,1857,4.72,0.95,1.645,7,2.52,7.24,Medium
HOUSEHOLD_1_290,CA_1,0.45,0.92,1857,4.01,0.95,1.645,7,3.15,7.16,Medium
HOBBIES_1_022,WI_3,0.5,0.8,1857,3.5,0.95,1.645,7,3.5,7.0,Medium
FOODS_1_021,TX_1,0.35,0.92,1857,4.01,0.95,1.645,7,2.45,6.46,Medium
FOODS_2_035,TX_1,0.41,0.8,1857,3.47,0.95,1.645,7,2.87,6.34,Medium
HOBBIES_1_022,TX_2,0.45,0.73,1857,3.18,0.95,1.645,7,3.15,6.33,Medium
FOODS_2_035,CA_4,0.37,0.81,1857,3.53,0.95,1.645,7,2.59,6.12,Medium
HOUSEHOLD_1_489,TX_2,0.3,0.89,1857,3.87,0.95,1.645,7,2.1,5.97,Medium
HOUSEHOLD_1_100,WI_2,0.42,0.68,1857,2.95,0.95,1.645,7,2.94,5.89,Medium
HOBBIES_1_022,WI_1,0.4,0.69,1857,3.0,0.95,1.645,7,2.8,5.8,Medium
HOBBIES_1_022,WI_2,0.38,0.68,1857,2.96,0.95,1.645,7,2.66,5.62,Medium
HOUSEHOLD_1_290,CA_2,0.3,0.81,1857,3.51,0.95,1.645,7,2.1,5.61,Medium
HOBBIES_2_041,CA_2,0.18,0.98,1857,4.25,0.95,1.645,7,1.26,5.51,Medium
HOBBIES_2_041,CA_3,0.21,0.9,1857,3.94,0.95,1.645,7,1.47,5.41,Medium
HOUSEHOLD_1_100,CA_4,0.37,0.62,1857,2.71,0.95,1.645,7,2.59,5.3,Medium
FOODS_3_180,WI_1,0.31,0.71,1857,3.08,0.95,1.645,7,2.17,5.25,Medium
FOODS_3_180,WI_2,0.29,0.73,1857,3.2,0.95,1.645,7,2.03,5.23,Medium
HOUSEHOLD_1_489,CA_2,0.25,0.8,1857,3.46,0.95,1.645,7,1.75,5.21,Medium
HOUSEHOLD_2_442,CA_4,0.33,0.66,1857,2.86,0.95,1.645,7,2.31,5.17,Medium
HOBBIES_1_022,CA_1,0.33,0.62,1857,2.7,0.95,1.645,7,2.31,5.01,Medium
HOUSEHOLD_1_290,WI_1,0.25,0.71,1857,3.09,0.95,1.645,7,1.75,4.84,Low
HOUSEHOLD_1_489,CA_1,0.22,0.71,1857,3.08,0.95,1.645,7,1.54,4.62,Low
HOUSEHOLD_1_489,TX_3,0.2,0.72,1857,3.15,0.95,1.645,7,1.4,4.55,Low
HOBBIES_1_022,TX_3,0.29,0.58,1857,2.52,0.95,1.645,7,2.03,4.55,Low
FOODS_2_035,WI_1,0.25,0.6,1857,2.62,0.95,1.645,7,1.75,4.37,Low
HOBBIES_2_041,TX_2,0.19,0.68,1857,2.96,0.95,1.645,7,1.33,4.29,Low
HOBBIES_1_022,TX_1,0.25,0.54,1857,2.34,0.95,1.645,7,1.75,4.09,Low
FOODS_3_260,CA_1,0.16,0.63,1857,2.74,0.95,1.645,7,1.12,3.86,Low
FOODS_3_180,CA_3,0.19,0.49,1857,2.14,0.95,1.645,7,1.33,3.47,Low
HOUSEHOLD_1_489,WI_2,0.16,0.53,1857,2.31,0.95,1.645,7,1.12,3.43,Low
HOUSEHOLD_1_489,WI_3,0.16,0.53,1857,2.31,0.95,1.645,7,1.12,3.43,Low
HOBBIES_2_041,CA_1,0.14,0.56,1857,2.44,0.95,1.645,7,0.98,3.42,Low
HOBBIES_2_113,CA_1,0.18,0.49,1857,2.15,0.95,1.645,7,1.26,3.41,Low
HOBBIES_2_113,CA_3,0.18,0.48,1857,2.1,0.95,1.645,7,1.26,3.36,Low
HOUSEHOLD_1_489,CA_4,0.15,0.52,1857,2.28,0.95,1.645,7,1.05,3.33,Low
FOODS_3_180,CA_1,0.18,0.48,1857,2.07,0.95,1.645,7,1.26,3.33,Low
HOUSEHOLD_1_290,CA_4,0.17,0.48,1857,2.07,0.95,1.645,7,1.19,3.26,Low
HOBBIES_2_113,TX_2,0.17,0.47,1857,2.06,0.95,1.645,7,1.19,3.25,Low
FOODS_3_260,WI_1,0.12,0.53,1857,2.29,0.95,1.645,7,0.84,3.13,Low
HOBBIES_2_113,TX_1,0.14,0.45,1857,1.98,0.95,1.645,7,0.98,2.96,Low
FOODS_3_180,WI_3,0.15,0.44,1857,1.91,0.95,1.645,7,1.05,2.96,Low
HOBBIES_2_113,WI_1,0.14,0.42,1857,1.83,0.95,1.645,7,0.98,2.81,Low
HOBBIES_2_113,TX_3,0.13,0.43,1857,1.88,0.95,1.645,7,0.91,2.79,Low
HOBBIES_2_113,WI_2,0.12,0.43,1857,1.86,0.95,1.645,7,0.84,2.7,Low
HOUSEHOLD_1_489,WI_1,0.11,0.44,1857,1.92,0.95,1.645,7,0.77,2.69,Low
FOODS_3_180,TX_2,0.11,0.44,1857,1.9,0.95,1.645,7,0.77,2.67,Low
FOODS_3_260,TX_2,0.08,0.46,1857,2.01,0.95,1.645,7,0.56,2.57,Low
HOBBIES_2_113,CA_2,0.12,0.39,1857,1.68,0.95,1.645,7,0.84,2.52,Low
FOODS_3_180,CA_2,0.09,0.39,1857,1.71,0.95,1.645,7,0.63,2.34,Low
HOBBIES_2_113,WI_3,0.11,0.36,1857,1.56,0.95,1.645,7,0.77,2.33,Low
HOBBIES_2_041,WI_2,0.09,0.39,1857,1.69,0.95,1.645,7,0.63,2.32,Low
FOODS_3_180,CA_4,0.11,0.35,1857,1.54,0.95,1.645,7,0.77,2.31,Low
HOBBIES_1_022,CA_4,0.11,0.35,1857,1.5,0.95,1.645,7,0.77,2.27,Low
FOODS_3_260,CA_4,0.07,0.41,1857,1.77,0.95,1.645,7,0.49,2.26,Low
HOBBIES_2_041,TX_1,0.07,0.4,1857,1.74,0.95,1.645,7,0.49,2.23,Low
FOODS_3_260,CA_3,0.06,0.39,1857,1.71,0.95,1.645,7,0.42,2.13,Low
HOBBIES_2_041,CA_4,0.06,0.37,1857,1.61,0.95,1.645,7,0.42,2.03,Low
HOBBIES_2_041,TX_3,0.07,0.35,1857,1.51,0.95,1.645,7,0.49,2.0,Low
HOBBIES_2_041,WI_1,0.05,0.38,1857,1.64,0.95,1.645,7,0.35,1.99,Low
FOODS_3_260,WI_2,0.07,0.34,1857,1.48,0.95,1.645,7,0.49,1.97,Low
FOODS_3_260,CA_2,0.05,0.32,1857,1.39,0.95,1.645,7,0.35,1.74,Low
HOBBIES_2_113,CA_4,0.07,0.27,1857,1.18,0.95,1.645,7,0.49,1.67,Low
HOBBIES_2_041,WI_3,0.04,0.24,1857,1.05,0.95,1.645,7,0.28,1.33,Low
FOODS_3_180,TX_3,0.04,0.22,1857,0.96,0.95,1.645,7,0.28,1.24,Low
FOODS_3_260,WI_3,0.03,0.23,1857,1.02,0.95,1.645,7,0.21,1.23,Low
FOODS_3_260,TX_1,0.03,0.19,1857,0.82,0.95,1.645,7,0.21,1.03,Low
FOODS_3_260,TX_3,0.02,0.19,1857,0.83,0.95,1.645,7,0.14,0.97,Low
FOODS_3_180,TX_1,0.01,0.14,1857,0.59,0.95,1.645,7,0.07,0.66,Low
