item_id,store_id,average_daily_demand,demand_std,demand_records,safety_stock,service_level,z_score,lead_time_days
FOODS_3_260,CA_3,0.06,0.39,1857,1.71,0.95,1.645,7
HOBBIES_2_041,WI_2,0.09,0.39,1857,1.69,0.95,1.645,7
HOBBIES_2_113,CA_2,0.12,0.39,1857,1.68,0.95,1.645,7
HOBBIES_2_041,WI_1,0.05,0.38,1857,1.64,0.95,1.645,7
HOBBIES_2_041,CA_4,0.06,0.37,1857,1.61,0.95,1.645,7
HOBBIES_2_113,WI_3,0.11,0.36,1857,1.56,0.95,1.645,7
FOODS_3_180,CA_4,0.11,0.35,1857,1.54,0.95,1.645,7
HOBBIES_2_041,TX_3,0.07,0.35,1857,1.51,0.95,1.645,7
HOBBIES_1_022,CA_4,0.11,0.35,1857,1.5,0.95,1.645,7
FOODS_3_260,WI_2,0.07,0.34,1857,1.48,0.95,1.645,7
FOODS_3_260,CA_2,0.05,0.32,1857,1.39,0.95,1.645,7
HOBBIES_2_113,CA_4,0.07,0.27,1857,1.18,0.95,1.645,7
HOBBIES_2_041,WI_3,0.04,0.24,1857,1.05,0.95,1.645,7
FOODS_3_260,WI_3,0.03,0.23,1857,1.02,0.95,1.645,7
FOODS_3_180,TX_3,0.04,0.22,1857,0.96,0.95,1.645,7
FOODS_3_260,TX_3,0.02,0.19,1857,0.83,0.95,1.645,7
FOODS_3_260,TX_1,0.03,0.19,1857,0.82,0.95,1.645,7
FOODS_3_180,TX_1,0.01,0.14,1857,0.59,0.95,1.645,7
