item_id,store_id,average_daily_demand,demand_std,demand_records,safety_stock,service_level,z_score,lead_time_days,lead_time_demand,reorder_point,inventory_level,forecast_demand,forecast_daily_average,forecast_peak_demand,forecast_horizon_demand,recommended_inventory,target_inventory,inventory_buffer,recommended_action,forecast_horizon_days
HOUSEHOLD_1_489,TX_3,0.2,0.72,1857,3.15,0.95,1.645,7,1.4,4.55,Low,41.06,1.47,1.88,10.26,13.41,13.41,3.15,Maintain Safety Stock,7
HOUSEHOLD_1_370,TX_2,1.13,1.24,1857,5.38,0.95,1.645,7,7.91,13.29,Medium,31.92,1.14,2.04,7.98,13.36,13.36,5.38,Maintain Stock,7
HOUSEHOLD_2_442,WI_2,0.68,0.97,1857,4.22,0.95,1.645,7,4.76,8.98,Medium,35.94,1.28,1.88,8.99,13.21,13.21,4.22,Maintain Stock,7
HOUSEHOLD_1_489,CA_2,0.25,0.8,1857,3.46,0.95,1.645,7,1.75,5.21,Medium,37.86,1.35,2.14,9.46,12.92,12.92,3.46,Maintain Stock,7
HOUSEHOLD_1_100,TX_2,1.09,1.15,1857,5.03,0.95,1.645,7,7.63,12.66,Medium,8.91,0.32,1.11,2.23,7.26,12.66,10.43,Maintain Stock,7
FOODS_2_035,CA_4,0.37,0.81,1857,3.53,0.95,1.645,7,2.59,6.12,Medium,34.07,1.22,1.92,8.52,12.05,12.05,3.53,Maintain Stock,7
FOODS_2_035,CA_1,0.51,1.07,1857,4.66,0.95,1.645,7,3.57,8.23,Medium,29.51,1.05,2.06,7.38,12.04,12.04,4.66,Maintain Stock,7
HOUSEHOLD_1_100,WI_3,0.95,1.13,1857,4.93,0.95,1.645,7,6.65,11.58,Medium,4.56,0.16,0.54,1.14,6.07,11.58,10.44,Maintain Stock,7
HOBBIES_2_041,CA_2,0.18,0.98,1857,4.25,0.95,1.645,7,1.26,5.51,Medium,28.74,1.03,1.98,7.19,11.44,11.44,4.25,Maintain Stock,7
FOODS_2_035,TX_1,0.41,0.8,1857,3.47,0.95,1.645,7,2.87,6.34,Medium,31.83,1.14,1.5,7.96,11.43,11.43,3.47,Maintain Stock,7
HOUSEHOLD_2_442,TX_2,0.84,1.01,1857,4.4,0.95,1.645,7,5.88,10.28,Medium,27.09,0.97,1.34,6.77,11.17,11.17,4.4,Maintain Stock,7
HOUSEHOLD_1_100,TX_3,0.93,1.06,1857,4.63,0.95,1.645,7,6.51,11.14,Medium,10.8,0.39,1.28,2.7,7.33,11.14,8.44,Maintain Stock,7
HOUSEHOLD_2_442,WI_3,0.87,1.08,1857,4.72,0.95,1.645,7,6.09,10.81,Medium,25.2,0.9,1.25,6.3,11.02,11.02,4.72,Maintain Stock,7
HOUSEHOLD_1_370,CA_4,0.89,1.04,1857,4.54,0.95,1.645,7,6.23,10.77,Medium,24.49,0.87,1.35,6.12,10.66,10.77,4.65,Maintain Stock,7
HOUSEHOLD_2_442,TX_3,0.59,1.1,1857,4.77,0.95,1.645,7,4.13,8.9,Medium,23.73,0.85,1.31,5.93,10.7,10.7,4.77,Maintain Stock,7
HOUSEHOLD_1_370,TX_3,0.79,0.99,1857,4.29,0.95,1.645,7,5.53,9.82,Medium,25.03,0.89,1.37,6.26,10.55,10.55,4.29,Maintain Stock,7
HOUSEHOLD_1_370,TX_1,0.72,1.02,1857,4.43,0.95,1.645,7,5.04,9.47,Medium,23.97,0.86,1.19,5.99,10.42,10.42,4.43,Maintain Stock,7
HOUSEHOLD_1_290,CA_2,0.3,0.81,1857,3.51,0.95,1.645,7,2.1,5.61,Medium,26.87,0.96,1.34,6.72,10.23,10.23,3.51,Maintain Stock,7
HOUSEHOLD_1_489,CA_1,0.22,0.71,1857,3.08,0.95,1.645,7,1.54,4.62,Low,27.88,1.0,1.36,6.97,10.05,10.05,3.08,Maintain Safety Stock,7
FOODS_1_021,TX_3,0.6,1.3,1857,5.64,0.95,1.645,7,4.2,9.84,Medium,5.47,0.2,0.41,1.37,7.01,9.84,8.47,Maintain Stock,7
HOUSEHOLD_1_290,CA_1,0.45,0.92,1857,4.01,0.95,1.645,7,3.15,7.16,Medium,22.52,0.8,1.73,5.63,9.64,9.64,4.01,Maintain Stock,7
HOBBIES_1_022,CA_3,0.56,0.8,1857,3.5,0.95,1.645,7,3.92,7.42,Medium,24.24,0.87,1.35,6.06,9.56,9.56,3.5,Maintain Stock,7
FOODS_2_035,WI_1,0.25,0.6,1857,2.62,0.95,1.645,7,1.75,4.37,Low,26.91,0.96,1.34,6.73,9.35,9.35,2.62,Maintain Safety Stock,7
FOODS_1_021,TX_2,0.59,1.19,1857,5.18,0.95,1.645,7,4.13,9.31,Medium,3.7,0.13,0.36,0.93,6.11,9.31,8.38,Maintain Stock,7
HOUSEHOLD_1_100,WI_1,0.75,0.93,1857,4.03,0.95,1.645,7,5.25,9.28,Medium,8.69,0.31,0.77,2.17,6.2,9.28,7.11,Maintain Stock,7
FOODS_1_021,TX_1,0.35,0.92,1857,4.01,0.95,1.645,7,2.45,6.46,Medium,20.48,0.73,1.6,5.12,9.13,9.13,4.01,Maintain Stock,7
HOUSEHOLD_1_489,WI_2,0.16,0.53,1857,2.31,0.95,1.645,7,1.12,3.43,Low,25.85,0.92,1.28,6.46,8.77,8.77,2.31,Maintain Safety Stock,7
HOBBIES_1_209,CA_4,0.34,1.45,1857,6.3,0.95,1.645,7,2.38,8.68,Medium,1.33,0.05,0.12,0.33,6.63,8.68,8.35,Maintain Stock,7
HOBBIES_2_041,TX_2,0.19,0.68,1857,2.96,0.95,1.645,7,1.33,4.29,Low,22.25,0.79,1.24,5.56,8.52,8.52,2.96,Maintain Safety Stock,7
FOODS_3_260,CA_1,0.16,0.63,1857,2.74,0.95,1.645,7,1.12,3.86,Low,22.91,0.82,1.31,5.73,8.47,8.47,2.74,Maintain Safety Stock,7
FOODS_3_180,WI_1,0.31,0.71,1857,3.08,0.95,1.645,7,2.17,5.25,Medium,21.49,0.77,1.11,5.37,8.45,8.45,3.08,Maintain Stock,7
HOUSEHOLD_2_442,TX_1,0.63,0.88,1857,3.83,0.95,1.645,7,4.41,8.24,Medium,16.39,0.59,0.8,4.1,7.93,8.24,4.14,Maintain Stock,7
FOODS_3_180,WI_2,0.29,0.73,1857,3.2,0.95,1.645,7,2.03,5.23,Medium,19.89,0.71,1.14,4.97,8.17,8.17,3.2,Maintain Stock,7
HOUSEHOLD_1_489,WI_3,0.16,0.53,1857,2.31,0.95,1.645,7,1.12,3.43,Low,22.85,0.82,1.17,5.71,8.02,8.02,2.31,Maintain Safety Stock,7
HOUSEHOLD_1_489,CA_4,0.15,0.52,1857,2.28,0.95,1.645,7,1.05,3.33,Low,21.68,0.77,1.14,5.42,7.7,7.7,2.28,Maintain Safety Stock,7
HOUSEHOLD_2_442,CA_4,0.33,0.66,1857,2.86,0.95,1.645,7,2.31,5.17,Medium,18.72,0.67,0.92,4.68,7.54,7.54,2.86,Maintain Stock,7
HOBBIES_1_022,WI_3,0.5,0.8,1857,3.5,0.95,1.645,7,3.5,7.0,Medium,15.98,0.57,0.8,3.99,7.49,7.49,3.5,Maintain Stock,7
HOUSEHOLD_1_100,TX_1,0.56,0.77,1857,3.37,0.95,1.645,7,3.92,7.29,Medium,9.78,0.35,0.9,2.45,5.82,7.29,4.84,Maintain Stock,7
HOUSEHOLD_1_489,WI_1,0.11,0.44,1857,1.92,0.95,1.645,7,0.77,2.69,Low,21.45,0.77,0.98,5.36,7.28,7.28,1.92,Maintain Safety Stock,7
HOBBIES_1_022,CA_2,0.53,0.82,1857,3.56,0.95,1.645,7,3.71,7.27,Medium,9.89,0.35,0.6,2.47,6.03,7.27,4.8,Maintain Stock,7
FOODS_3_180,CA_3,0.19,0.49,1857,2.14,0.95,1.645,7,1.33,3.47,Low,18.71,0.67,0.84,4.68,6.82,6.82,2.14,Maintain Safety Stock,7
HOBBIES_1_022,TX_2,0.45,0.73,1857,3.18,0.95,1.645,7,3.15,6.33,Medium,13.75,0.49,0.74,3.44,6.62,6.62,3.18,Maintain Stock,7
HOBBIES_2_041,CA_3,0.21,0.9,1857,3.94,0.95,1.645,7,1.47,5.41,Medium,10.56,0.38,1.04,2.64,6.58,6.58,3.94,Maintain Stock,7
HOUSEHOLD_1_100,WI_2,0.42,0.68,1857,2.95,0.95,1.645,7,2.94,5.89,Medium,4.39,0.16,0.4,1.1,4.05,5.89,4.79,Maintain Stock,7
HOBBIES_1_022,CA_1,0.33,0.62,1857,2.7,0.95,1.645,7,2.31,5.01,Medium,12.6,0.45,0.6,3.15,5.85,5.85,2.7,Maintain Stock,7
HOBBIES_1_022,WI_1,0.4,0.69,1857,3.0,0.95,1.645,7,2.8,5.8,Medium,9.77,0.35,0.57,2.44,5.44,5.8,3.36,Maintain Stock,7
HOBBIES_1_022,WI_2,0.38,0.68,1857,2.96,0.95,1.645,7,2.66,5.62,Medium,9.31,0.33,0.62,2.33,5.29,5.62,3.29,Maintain Stock,7
HOUSEHOLD_1_290,WI_1,0.25,0.71,1857,3.09,0.95,1.645,7,1.75,4.84,Low,10.02,0.36,0.87,2.5,5.59,5.59,3.09,Maintain Safety Stock,7
HOUSEHOLD_1_100,CA_4,0.37,0.62,1857,2.71,0.95,1.645,7,2.59,5.3,Medium,4.82,0.17,0.52,1.2,3.91,5.3,4.1,Maintain Stock,7
FOODS_3_180,TX_2,0.11,0.44,1857,1.9,0.95,1.645,7,0.77,2.67,Low,13.39,0.48,0.73,3.35,5.25,5.25,1.9,Maintain Safety Stock,7
HOBBIES_1_022,TX_3,0.29,0.58,1857,2.52,0.95,1.645,7,2.03,4.55,Low,10.66,0.38,0.57,2.67,5.19,5.19,2.52,Maintain Safety Stock,7
FOODS_3_180,WI_3,0.15,0.44,1857,1.91,0.95,1.645,7,1.05,2.96,Low,13.01,0.46,0.65,3.25,5.16,5.16,1.91,Maintain Safety Stock,7
FOODS_3_260,WI_1,0.12,0.53,1857,2.29,0.95,1.645,7,0.84,3.13,Low,10.56,0.38,0.58,2.64,4.93,4.93,2.29,Maintain Safety Stock,7
FOODS_3_180,CA_1,0.18,0.48,1857,2.07,0.95,1.645,7,1.26,3.33,Low,10.93,0.39,0.6,2.73,4.8,4.8,2.07,Maintain Safety Stock,7
HOBBIES_2_041,CA_1,0.14,0.56,1857,2.44,0.95,1.645,7,0.98,3.42,Low,9.27,0.33,0.71,2.32,4.76,4.76,2.44,Maintain Safety Stock,7
FOODS_3_260,TX_2,0.08,0.46,1857,2.01,0.95,1.645,7,0.56,2.57,Low,10.73,0.38,0.59,2.68,4.69,4.69,2.01,Maintain Safety Stock,7
FOODS_3_180,CA_4,0.11,0.35,1857,1.54,0.95,1.645,7,0.77,2.31,Low,11.52,0.41,0.55,2.88,4.42,4.42,1.54,Maintain Safety Stock,7
FOODS_3_260,CA_4,0.07,0.41,1857,1.77,0.95,1.645,7,0.49,2.26,Low,10.0,0.36,0.55,2.5,4.27,4.27,1.77,Maintain Safety Stock,7
FOODS_3_180,CA_2,0.09,0.39,1857,1.71,0.95,1.645,7,0.63,2.34,Low,10.21,0.36,0.5,2.55,4.26,4.26,1.71,Maintain Safety Stock,7
FOODS_3_260,CA_3,0.06,0.39,1857,1.71,0.95,1.645,7,0.42,2.13,Low,9.97,0.36,0.58,2.49,4.2,4.2,1.71,Maintain Safety Stock,7
HOBBIES_1_022,TX_1,0.25,0.54,1857,2.34,0.95,1.645,7,1.75,4.09,Low,6.56,0.23,0.47,1.64,3.98,4.09,2.45,Maintain Safety Stock,7
HOBBIES_2_041,WI_2,0.09,0.39,1857,1.69,0.95,1.645,7,0.63,2.32,Low,8.56,0.31,0.44,2.14,3.83,3.83,1.69,Maintain Safety Stock,7
FOODS_3_260,CA_2,0.05,0.32,1857,1.39,0.95,1.645,7,0.35,1.74,Low,9.07,0.32,0.67,2.27,3.66,3.66,1.39,Maintain Safety Stock,7
HOBBIES_2_113,TX_2,0.17,0.47,1857,2.06,0.95,1.645,7,1.19,3.25,Low,5.77,0.21,0.34,1.44,3.5,3.5,2.06,Maintain Safety Stock,7
HOUSEHOLD_1_290,CA_4,0.17,0.48,1857,2.07,0.95,1.645,7,1.19,3.26,Low,5.39,0.19,0.51,1.35,3.42,3.42,2.07,Maintain Safety Stock,7
HOBBIES_2_113,CA_1,0.18,0.49,1857,2.15,0.95,1.645,7,1.26,3.41,Low,4.24,0.15,0.27,1.06,3.21,3.41,2.35,Maintain Safety Stock,7
HOBBIES_2_113,CA_3,0.18,0.48,1857,2.1,0.95,1.645,7,1.26,3.36,Low,2.0,0.07,0.28,0.5,2.6,3.36,2.86,Maintain Safety Stock,7
HOBBIES_2_041,WI_1,0.05,0.38,1857,1.64,0.95,1.645,7,0.35,1.99,Low,6.5,0.23,0.44,1.63,3.27,3.27,1.64,Maintain Safety Stock,7
HOBBIES_2_041,CA_4,0.06,0.37,1857,1.61,0.95,1.645,7,0.42,2.03,Low,5.87,0.21,0.37,1.47,3.08,3.08,1.61,Maintain Safety Stock,7
FOODS_3_180,TX_3,0.04,0.22,1857,0.96,0.95,1.645,7,0.28,1.24,Low,8.42,0.3,0.48,2.1,3.06,3.06,0.96,Maintain Safety Stock,7
HOBBIES_2_113,TX_1,0.14,0.45,1857,1.98,0.95,1.645,7,0.98,2.96,Low,3.86,0.14,0.24,0.96,2.94,2.96,2.0,Maintain Safety Stock,7
HOBBIES_2_113,TX_3,0.13,0.43,1857,1.88,0.95,1.645,7,0.91,2.79,Low,4.29,0.15,0.29,1.07,2.95,2.95,1.88,Maintain Safety Stock,7
FOODS_3_260,WI_2,0.07,0.34,1857,1.48,0.95,1.645,7,0.49,1.97,Low,5.42,0.19,0.48,1.35,2.83,2.83,1.48,Maintain Safety Stock,7
HOBBIES_2_113,WI_1,0.14,0.42,1857,1.83,0.95,1.645,7,0.98,2.81,Low,3.42,0.12,0.23,0.86,2.69,2.81,1.95,Maintain Safety Stock,7
HOBBIES_2_113,WI_2,0.12,0.43,1857,1.86,0.95,1.645,7,0.84,2.7,Low,3.77,0.13,0.25,0.94,2.8,2.8,1.86,Maintain Safety Stock,7
HOBBIES_2_041,WI_3,0.04,0.24,1857,1.05,0.95,1.645,7,0.28,1.33,Low,6.68,0.24,0.52,1.67,2.72,2.72,1.05,Maintain Safety Stock,7
HOBBIES_2_113,CA_2,0.12,0.39,1857,1.68,0.95,1.645,7,0.84,2.52,Low,0.82,0.03,0.08,0.21,1.89,2.52,2.31,Maintain Safety Stock,7
HOBBIES_2_041,TX_1,0.07,0.4,1857,1.74,0.95,1.645,7,0.49,2.23,Low,3.01,0.11,0.23,0.75,2.49,2.49,1.74,Maintain Safety Stock,7
HOBBIES_2_041,TX_3,0.07,0.35,1857,1.51,0.95,1.645,7,0.49,2.0,Low,3.72,0.13,0.23,0.93,2.44,2.44,1.51,Maintain Safety Stock,7
FOODS_3_180,TX_1,0.01,0.14,1857,0.59,0.95,1.645,7,0.07,0.66,Low,7.14,0.25,0.36,1.78,2.37,2.37,0.59,Maintain Safety Stock,7
FOODS_3_260,WI_3,0.03,0.23,1857,1.02,0.95,1.645,7,0.21,1.23,Low,5.29,0.19,0.36,1.32,2.34,2.34,1.02,Maintain Safety Stock,7
HOBBIES_2_113,WI_3,0.11,0.36,1857,1.56,0.95,1.645,7,0.77,2.33,Low,0.54,0.02,0.04,0.13,1.69,2.33,2.2,Maintain Safety Stock,7
HOBBIES_1_022,CA_4,0.11,0.35,1857,1.5,0.95,1.645,7,0.77,2.27,Low,2.63,0.09,0.23,0.66,2.16,2.27,1.61,Maintain Safety Stock,7
FOODS_3_260,TX_1,0.03,0.19,1857,0.82,0.95,1.645,7,0.21,1.03,Low,4.3,0.15,0.3,1.07,1.89,1.89,0.82,Maintain Safety Stock,7
FOODS_3_260,TX_3,0.02,0.19,1857,0.83,0.95,1.645,7,0.14,0.97,Low,3.71,0.13,0.34,0.93,1.76,1.76,0.83,Maintain Safety Stock,7
HOBBIES_2_113,CA_4,0.07,0.27,1857,1.18,0.95,1.645,7,0.49,1.67,Low,1.85,0.07,0.21,0.46,1.64,1.67,1.21,Maintain Safety Stock,7
